职位名,链接,公司,工作地点,薪资,经验,学历
数据分析 ,https://www.zhipin.com/job_detail/1413411938.html,凤凰金融,北京,10K-20K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413252010.html,百贝宝公司,昆山,5K-10K,3-5年,本科
数据分析师（精准营销） ,https://www.zhipin.com/job_detail/1412992347.html,飞贷金融,深圳,9K-18K,1-3年,本科
高级数据分析师 ,https://www.zhipin.com/job_detail/1413366598.html,么么直播,上海,12K-20K,3-5年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413197325.html,滴滴出行,北京,25K-26K,经验不限,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413076547.html,AdMaster,北京,5K-6K,1年以内,本科
数据分析主管 ,https://www.zhipin.com/job_detail/1413128759.html,众谱伟信,上海,15K-20K,3-5年,本科
数据分析经理（带团队） ,https://www.zhipin.com/job_detail/1412896305.html,宜信公司,北京,25K-30K,5-10年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413208107.html,现金转转,深圳,15K-25K,1-3年,本科
数据分析专员 ,https://www.zhipin.com/job_detail/1413051108.html,易视腾科技,福州,6K-10K,1-3年,本科
媒介+数据分析助理 ,https://www.zhipin.com/job_detail/1413336696.html,北斗影业,北京,4K-7K,经验不限,大专
CRM系统数据分析（客户需求分析） ,https://www.zhipin.com/job_detail/1413237974.html,搜货,北京,6K-8K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413140449.html,京东,北京,15K-30K,1-3年,硕士
数据分析师 ,https://www.zhipin.com/job_detail/1413221001.html,炎黄新星网络,太原,4K-8K,1-3年,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413312566.html,明日数据,武汉,5K-7K,经验不限,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413041057.html,什马金融,上海,6K-10K,1-3年,本科
数据分析师【旅游方向】 ,https://www.zhipin.com/job_detail/1413084938.html,中数经纬科技,北京,8K-12K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413309774.html,中催联,西安,4K-5K,1年以内,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413299269.html,龙凤新天地购物广场,呼伦贝尔,3K-4K,1年以内,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413322125.html,中商惠民,北京,8K-15K,3-5年,本科
数据分析/销售助理 ,https://www.zhipin.com/job_detail/1413334096.html,康诺邦,杭州,4K-6K,经验不限,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413268451.html,海明控股,杭州,7K-10K,1-3年,本科
数据分析 ,https://www.zhipin.com/job_detail/1413197816.html,大连集杰科技,大连,3K-4K,1-3年,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413392736.html,卡车之家,北京,10K-20K,1年以内,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413256028.html,浙江执御,杭州,10K-15K,1-3年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413348035.html,PLAY800,广州,4K-5K,应届生,大专
数据分析师 ,https://www.zhipin.com/job_detail/1413392340.html,时代大数据,茂名,6K-10K,1年以内,硕士
资深数据分析工程师 ,https://www.zhipin.com/job_detail/1413337238.html,多有米,深圳,30K-60K,3-5年,博士
高级数据分析员（EDB） ,https://www.zhipin.com/job_detail/1413297563.html,南京万得,南京,4K-8K,经验不限,本科
资深数据分析工程师 ,https://www.zhipin.com/job_detail/1413367411.html,钱包金服,北京,35K-45K,5-10年,本科
数据分析师 ,https://www.zhipin.com/job_detail/1413343472.html,联众同行,北京,8K-15K,3-5年,本科
